Model,MPG,Cylinders (categorical),Displacement,Horsepower,Weight,Acceleration,Year,Origin (categorical),Origin Label,Null Trap,Segment,Segment8,Grade (categorical),Grade Label,Fleet,Region,Emptyish,Log Spaced,Long Label,Long Number,Long Code (categorical)
volkswagen rabbit custom diesel,43.1,4.0,90.0,48.0,1985.0,21.5,78.0,2.0,,C,Seg12,SegD,9,9,FleetA,EAST,ok,5.2302026753392994,Central Plains Research Laboratory Delta,0.001,5550000000000000
ford fiesta,36.1,4.0,98.0,66.0,1800.0,14.4,78.0,1.0,USA,,Seg01,SegE,1,1,FleetA,North,,5.4116952654646377,Atlantic Coastal Engineering Station Epsilon,0.000000000001,1000000000000000000
mazda glc deluxe,32.8,4.0,78.0,52.0,1985.0,19.4,78.0,3.0,Japan,B,Seg02,SegF,2,2,FleetA,south,none,5.5994858066092954,Mountain West Quality Assurance Facility Zeta,1000000000000,0.30000000000000004
datsun b210 gx,39.4,4.0,85.0,70.0,2070.0,18.6,78.0,3.0,Japan,C,Seg03,SegG,5,5,FleetA,EAST,ok,5.793792843161321,Great Lakes Production Operations Eta,999,1234567890
honda civic cvcc,36.1,4.0,91.0,60.0,1800.0,16.4,78.0,3.0,Japan,A,Seg04,SegH,9,9,FleetA,North,,5.9948425031894086,Gulf Coast Materials Testing Institute Theta,1000,0.000000000000001
oldsmobile cutlass salon brougham,19.9,8.0,260.0,110.0,3365.0,15.5,78.0,1.0,USA,B,Seg05,SegA,1,1,FleetA,south,none,6.2028687616033356,North American Manufacturing Division Alpha,999999,12345678901234.5
dodge diplomat,19.4,8.0,318.0,140.0,3735.0,13.2,78.0,1.0,USA,undefined,Seg06,SegB,2,2,FleetA,EAST,ok,6.4181137124460621,Southwestern European Distribution Center Beta,1000000,30000000
mercury monarch ghia,20.2,8.0,302.0,139.0,3570.0,12.8,78.0,1.0,USA,A,Seg07,SegC,5,5,FleetA,North,,6.640827850634845,Pacific Rim Logistics and Supply Chain Gamma,-30000000,0.000000123456789
pontiac phoenix lj,19.2,6.0,231.0,105.0,3535.0,19.2,78.0,1.0,USA,B,Seg08,SegD,9,9,FleetA,south,none,6.871270363478768,Central Plains Research Laboratory Delta,-0.0000001234,5550000000000000
chevrolet malibu,20.5,6.0,200.0,95.0,3155.0,18.2,78.0,1.0,USA,C,Seg09,SegE,1,1,FleetA,EAST,ok,7.1097094323124317,Atlantic Coastal Engineering Station Epsilon,0,1000000000000000000
ford fairmont (auto),20.2,6.0,200.0,85.0,2965.0,15.8,78.0,1.0,USA,A,Seg10,SegF,2,2,FleetA,North,,7.3564225445964215,Mountain West Quality Assurance Facility Zeta,1,0.30000000000000004
ford fairmont (man),25.1,4.0,140.0,88.0,2720.0,15.4,78.0,1.0,USA,B,Seg11,SegG,5,5,FleetA,south,none,7.6116968168479415,Great Lakes Production Operations Eta,-1,1234567890
,20.5,6.0,225.0,100.0,3430.0,17.2,78.0,1.0,USA,C,Seg12,SegH,9,9,FleetA,EAST,ok,7.8758293287775958,Gulf Coast Materials Testing Institute Theta,0.9999999999999999,0.000000000000001
amc concord,19.4,6.0,232.0,90.0,3210.0,17.2,78.0,1.0,USA,A,Seg01,SegA,1,1,FleetA,North,,8.1491274690207494,North American Manufacturing Division Alpha,1000000000.0000001,12345678901234.5
buick century special,20.6,6.0,231.0,105.0,3380.0,15.8,78.0,1.0,USA,B,Seg02,SegB,2,2,FleetA,south,none,8.4319092928662602,Southwestern European Distribution Center Beta,0.000000000000001,30000000
mercury zephyr,20.8,6.0,200.0,85.0,3070.0,16.7,78.0,1.0,USA,C,Seg03,SegC,5,5,FleetA,EAST,ok,8.724503892398662,Pacific Rim Logistics and Supply Chain Gamma,1000000000000000000,0.000000123456789
dodge aspen,18.6,NaN,225.0,110.0,3620.0,18.7,78.0,1.0,USA,A,Seg04,SegD,9,9,FleetA,North,,9.027251779484569,Central Plains Research Laboratory Delta,5550000000000000,5550000000000000
amc concord d/l,18.1,6.0,258.0,120.0,3410.0,15.1,78.0,1.0,USA,B,Seg05,SegE,1,1,FleetA,south,none,9.340505282049083,Atlantic Coastal Engineering Station Epsilon,1234567890123456,1000000000000000000
chevrolet monte carlo landau,19.2,8.0,305.0,145.0,3425.0,13.2,78.0,1.0,USA,C,Seg06,SegF,2,2,FleetA,EAST,ok,9.6646289541032377,Mountain West Quality Assurance Facility Zeta,100000000000,0.30000000000000004
buick regal sport coupe (turbo),17.7,6.0,231.0,165.0,3445.0,13.4,78.0,1.0,USA,A,Seg07,SegG,5,5,FleetA,North,,10,Great Lakes Production Operations Eta,30000000,1234567890
ford futura,18.1,8.0,302.0,139.0,3205.0,11.2,78.0,1.0,,B,Seg08,SegH,9,9,FleetA,south,none,10.34700871341199,Gulf Coast Materials Testing Institute Theta,1234567890,0.000000000000001
dodge magnum xe,17.5,8.0,318.0,140.0,4080.0,13.7,78.0,1.0,USA,C,Seg09,SegA,1,1,FleetA,EAST,ok,10.706058931542364,North American Manufacturing Division Alpha,12345678901234.5,12345678901234.5
chevrolet chevette,30.0,4.0,98.0,68.0,2155.0,16.5,78.0,1.0,USA,A,Seg10,SegB,2,2,FleetA,North,,11.077568505097087,Southwestern European Distribution Center Beta,0.0000001,30000000
toyota corona,27.5,4.0,134.0,95.0,2560.0,14.2,78.0,3.0,Japan,B,Seg11,SegC,5,5,FleetA,south,none,11.461969784565779,Pacific Rim Logistics and Supply Chain Gamma,0.0000001234567890123456,0.000000123456789
datsun 510,27.2,4.0,119.0,97.0,2300.0,14.7,78.0,3.0,Japan,C,Seg12,SegD,9,9,FleetA,EAST,ok,11.859710123376706,Central Plains Research Laboratory Delta,0.30000000000000004,5550000000000000
dodge omni,30.9,4.0,105.0,75.0,2230.0,14.5,78.0,1.0,USA,A,Seg01,SegE,1,1,FleetA,North,,12.271252398511891,Atlantic Coastal Engineering Station Epsilon,3.141592653589793,1000000000000000000
toyota celica gt liftback,21.1,4.0,134.0,95.0,2515.0,14.8,78.0,3.0,Japan,,Seg02,SegF,2,2,FleetA,south,none,12.697075549188032,Mountain West Quality Assurance Facility Zeta,2.718281828459045,0.30000000000000004
plymouth sapporo,23.2,4.0,156.0,105.0,2745.0,16.7,78.0,1.0,USA,C,Seg03,SegG,5,5,FleetA,EAST,ok,13.137675134229889,Great Lakes Production Operations Eta,1.4142135623730951,1234567890
oldsmobile starfire sx,23.8,4.0,151.0,85.0,2855.0,17.6,78.0,1.0,USA,A,Seg04,SegH,9,9,FleetA,North,,13.593563908785242,Gulf Coast Materials Testing Institute Theta,0.1,0.000000000000001
datsun 200-sx,23.9,4.0,119.0,97.0,2405.0,14.9,78.0,3.0,Japan,B,Seg05,SegA,1,1,FleetA,south,none,14.065272421052365,North American Manufacturing Division Alpha,0.01,12345678901234.5
audi 5000,20.3,5.0,131.0,103.0,2830.0,15.9,78.0,2.0,Europe,C,Seg06,SegB,2,2,FleetA,EAST,ok,14.553349629714216,Southwestern European Distribution Center Beta,0.001,30000000
volvo 264gl,17.0,6.0,163.0,125.0,3140.0,13.6,78.0,2.0,Europe,A,Seg07,SegC,5,5,FleetA,North,,15.058363542798414,Pacific Rim Logistics and Supply Chain Gamma,0.000000000001,0.000000123456789
,21.6,4.0,121.0,115.0,2795.0,15.7,78.0,2.0,Europe,B,Seg08,SegD,9,9,FleetA,south,none,15.580901878706031,Central Plains Research Laboratory Delta,1000000000000,5550000000000000
peugeot 604sl,16.2,6.0,163.0,133.0,3410.0,15.8,78.0,2.0,Europe,C,Seg09,SegE,1,1,FleetA,EAST,ok,16.121572750178856,Atlantic Coastal Engineering Station Epsilon,999,1000000000000000000
volkswagen scirocco,31.5,4.0,89.0,71.0,1990.0,14.9,78.0,2.0,Europe,null,Seg10,SegF,2,2,FleetA,North,,16.681005372000591,Mountain West Quality Assurance Facility Zeta,1000,0.30000000000000004
honda accord lx,29.5,4.0,98.0,68.0,2135.0,16.6,78.0,3.0,Japan,B,Seg11,SegG,5,5,FleetA,south,none,17.259850793256234,Great Lakes Production Operations Eta,999999,1234567890
pontiac lemans v6,21.5,NaN,231.0,115.0,3245.0,15.4,79.0,1.0,USA,C,Seg12,SegH,9,9,FleetA,EAST,ok,17.858782655001271,Gulf Coast Materials Testing Institute Theta,1000000,0.000000000000001
mercury zephyr 6,19.8,6.0,200.0,85.0,2990.0,18.2,79.0,1.0,USA,A,Seg01,SegA,1,1,FleetA,North,,18.478497974222908,North American Manufacturing Division Alpha,-30000000,12345678901234.5
ford fairmont 4,22.3,4.0,140.0,88.0,2890.0,17.3,79.0,1.0,USA,B,Seg02,SegB,2,2,FleetA,south,none,19.119717955005022,Southwestern European Distribution Center Beta,-0.0000001234,30000000
amc concord dl 6,20.2,6.0,232.0,90.0,3265.0,18.2,79.0,1.0,USA,C,Seg03,SegC,5,5,FleetA,EAST,ok,19.783188827841624,Pacific Rim Logistics and Supply Chain Gamma,0,0.000000123456789
dodge aspen 6,20.6,6.0,225.0,110.0,3360.0,16.6,79.0,1.0,,A,Seg04,SegD,9,9,FleetA,North,,20.469682718075241,Central Plains Research Laboratory Delta,1,5550000000000000
chevrolet caprice classic,17.0,8.0,305.0,130.0,3840.0,15.4,79.0,1.0,USA,B,Seg05,SegE,1,1,FleetA,south,none,21.179998544470291,Atlantic Coastal Engineering Station Epsilon,-1,1000000000000000000
ford ltd landau,17.6,8.0,302.0,129.0,3725.0,13.4,79.0,1.0,USA,C,Seg06,SegF,2,2,FleetA,EAST,ok,21.914962948968693,Mountain West Quality Assurance Facility Zeta,0.9999999999999999,0.30000000000000004
mercury grand marquis,16.5,8.0,351.0,138.0,3955.0,13.2,79.0,1.0,USA,A,Seg07,SegG,5,5,FleetA,North,,22.675431258708045,Great Lakes Production Operations Eta,1000000000.0000001,1234567890
dodge st. regis,18.2,8.0,318.0,135.0,3830.0,15.2,79.0,1.0,USA,B,Seg08,SegH,9,9,FleetA,south,none,23.462288481422625,Gulf Coast Materials Testing Institute Theta,0.000000000000001,0.000000000000001
buick estate wagon (sw),16.9,8.0,350.0,155.0,4360.0,14.9,79.0,1.0,USA,C,Seg09,SegA,1,1,FleetA,EAST,ok,24.276450335386567,North American Manufacturing Division Alpha,1000000000000000000,12345678901234.5
ford country squire (sw),15.5,8.0,351.0,142.0,4054.0,14.3,79.0,1.0,USA,undefined,Seg10,SegB,2,2,FleetA,North,,25.11886431509577,Southwestern European Distribution Center Beta,5550000000000000,30000000
chevrolet malibu classic (sw),19.2,8.0,267.0,125.0,3605.0,15.0,79.0,1.0,USA,B,Seg11,SegC,5,5,FleetA,south,none,25.990510793930941,Pacific Rim Logistics and Supply Chain Gamma,1234567890123456,0.000000123456789
chrysler lebaron town @ country (sw),18.5,8.0,360.0,150.0,3940.0,13.0,79.0,1.0,USA,C,Seg12,SegD,9,9,FleetA,EAST,ok,26.892404165083185,Central Plains Research Laboratory Delta,100000000000,5550000000000000
vw rabbit custom,31.9,4.0,89.0,71.0,1925.0,14.0,79.0,2.0,Europe,A,Seg01,SegE,1,1,FleetA,North,,27.825594022071257,Atlantic Coastal Engineering Station Epsilon,30000000,1000000000000000000
maxda glc deluxe,34.1,4.0,86.0,65.0,1975.0,15.2,79.0,3.0,Japan,B,Seg02,SegF,2,2,FleetA,south,none,28.79116638022359,Mountain West Quality Assurance Facility Zeta,1234567890,0.30000000000000004
dodge colt hatchback custom,35.7,4.0,98.0,80.0,1915.0,14.4,79.0,1.0,USA,,Seg03,SegG,5,5,FleetA,EAST,ok,29.790244940546721,Great Lakes Production Operations Eta,12345678901234.5,1234567890
,27.4,4.0,121.0,80.0,2670.0,15.0,79.0,1.0,USA,A,Seg04,SegH,9,9,FleetA,North,,30.823992397451434,Gulf Coast Materials Testing Institute Theta,0.0000001,0.000000000000001
mercedes benz 300d,25.4,5.0,183.0,77.0,3530.0,20.1,79.0,2.0,Europe,B,Seg05,SegA,1,1,FleetA,south,none,31.893611791857492,North American Manufacturing Division Alpha,0.0000001234567890123456,12345678901234.5
cadillac eldorado,23.0,8.0,350.0,125.0,3900.0,17.4,79.0,1.0,USA,C,Seg06,SegB,2,2,FleetA,EAST,ok,33.000347911252888,Southwestern European Distribution Center Beta,0.30000000000000004,30000000
peugeot 504,27.2,4.0,141.0,71.0,3190.0,24.8,79.0,2.0,Europe,A,Seg07,SegC,5,5,FleetA,North,,34.145488738336006,Pacific Rim Logistics and Supply Chain Gamma,3.141592653589793,0.000000123456789
oldsmobile cutlass salon brougham,23.9,NaN,260.0,90.0,3420.0,22.2,79.0,1.0,USA,B,Seg08,SegD,9,9,FleetA,south,none,35.330366949927289,Central Plains Research Laboratory Delta,2.718281828459045,5550000000000000
plymouth horizon,34.2,4.0,105.0,70.0,2200.0,13.2,79.0,1.0,USA,C,Seg09,SegE,1,1,FleetA,EAST,ok,36.556361467894142,Atlantic Coastal Engineering Station Epsilon,1.4142135623730951,1000000000000000000
plymouth horizon tc3,34.5,4.0,105.0,70.0,2150.0,14.9,79.0,1.0,USA,A,Seg10,SegF,2,2,FleetA,North,,37.824899063893824,Mountain West Quality Assurance Facility Zeta,0.1,0.30000000000000004
datsun 210,31.8,4.0,85.0,65.0,2020.0,19.2,79.0,3.0,Japan,B,Seg11,SegG,5,5,FleetA,south,none,39.137456019803842,Great Lakes Production Operations Eta,0.01,1234567890
fiat strada custom,37.3,4.0,91.0,69.0,2130.0,14.7,79.0,2.0,,C,Seg12,SegH,9,9,FleetA,EAST,ok,40.495559845768888,Gulf Coast Materials Testing Institute Theta,0.001,0.000000000000001
buick skylark limited,28.4,4.0,151.0,90.0,2670.0,16.0,79.0,1.0,USA,A,Seg01,SegA,1,1,FleetA,North,,41.900791057866648,North American Manufacturing Division Alpha,0.000000000001,12345678901234.5
chevrolet citation,28.8,6.0,173.0,115.0,2595.0,11.3,79.0,1.0,USA,B,Seg02,SegB,2,2,FleetA,south,none,43.354785017460138,Southwestern European Distribution Center Beta,1000000000000,30000000
oldsmobile omega brougham,26.8,6.0,173.0,115.0,2700.0,12.9,79.0,1.0,USA,C,Seg03,SegC,5,5,FleetA,EAST,ok,44.859233834376369,Pacific Rim Logistics and Supply Chain Gamma,999,0.000000123456789
pontiac phoenix,33.5,4.0,151.0,90.0,2556.0,13.2,79.0,1.0,USA,A,Seg04,SegD,9,9,FleetA,North,,46.415888336127821,Central Plains Research Laboratory Delta,1000,5550000000000000
vw rabbit,41.5,4.0,98.0,76.0,2144.0,14.7,80.0,2.0,Europe,B,Seg05,SegE,1,1,FleetA,south,none,48.026560105467155,Atlantic Coastal Engineering Station Epsilon,999999,1000000000000000000
toyota corolla tercel,38.1,4.0,89.0,60.0,1968.0,18.8,80.0,3.0,Japan,C,Seg06,SegF,2,2,FleetA,EAST,ok,49.693123588647325,Mountain West Quality Assurance Facility Zeta,1000000,0.30000000000000004
chevrolet chevette,32.1,4.0,98.0,70.0,2120.0,15.5,80.0,1.0,USA,A,Seg07,SegG,5,5,FleetA,North,,51.417518276839274,Great Lakes Production Operations Eta,-30000000,1234567890
datsun 310,37.2,4.0,86.0,65.0,2019.0,16.4,80.0,3.0,Japan,B,Seg08,SegH,9,9,FleetA,south,none,53.201750963247626,Gulf Coast Materials Testing Institute Theta,-0.0000001234,0.000000000000001
chevrolet citation,28.0,4.0,151.0,90.0,2678.0,16.5,80.0,1.0,USA,C,Seg09,SegA,1,1,FleetA,EAST,ok,55.047898078549679,North American Manufacturing Division Alpha,0,12345678901234.5
ford fairmont,26.4,4.0,140.0,88.0,2870.0,18.1,80.0,1.0,USA,A,Seg10,SegB,2,2,FleetA,North,,56.958108107376866,Southwestern European Distribution Center Beta,1,30000000
amc concord,24.3,4.0,151.0,90.0,3003.0,20.1,80.0,1.0,USA,B,Seg11,SegC,5,5,FleetA,south,none,58.934604088649053,Pacific Rim Logistics and Supply Chain Gamma,-1,0.000000123456789
,19.1,6.0,225.0,90.0,3381.0,18.7,80.0,1.0,USA,C,Seg12,SegD,9,9,FleetA,EAST,ok,60.979686202673633,Central Plains Research Laboratory Delta,0.9999999999999999,5550000000000000
audi 4000,34.3,4.0,97.0,78.0,2188.0,15.8,80.0,2.0,Europe,A,Seg01,SegE,1,1,FleetA,North,,63.095734448019428,Atlantic Coastal Engineering Station Epsilon,1000000000.0000001,1000000000000000000
toyota corona liftback,29.8,4.0,134.0,90.0,2711.0,15.5,80.0,3.0,Japan,null,Seg02,SegF,2,2,FleetA,south,none,65.285211411278468,Mountain West Quality Assurance Facility Zeta,0.000000000000001,0.30000000000000004
mazda 626,31.3,4.0,120.0,75.0,2542.0,17.5,80.0,3.0,Japan,C,Seg03,SegG,5,5,FleetA,EAST,ok,67.55066513294409,Great Lakes Production Operations Eta,1000000000000000000,1234567890
datsun 510 hatchback,37.0,NaN,119.0,92.0,2434.0,15.0,80.0,3.0,Japan,,Seg04,SegH,9,9,FleetA,North,,69.894732072734939,Gulf Coast Materials Testing Institute Theta,5550000000000000,0.000000000000001
toyota corolla,32.2,4.0,108.0,75.0,2265.0,15.2,80.0,3.0,Japan,B,Seg05,SegA,1,1,FleetA,south,none,72.320140177818331,North American Manufacturing Division Alpha,1234567890123456,12345678901234.5
mazda glc,46.6,4.0,86.0,65.0,2110.0,17.9,80.0,3.0,Japan,C,Seg06,SegB,2,2,FleetA,EAST,ok,74.829712057506285,Southwestern European Distribution Center Beta,100000000000,30000000
dodge colt,27.9,4.0,156.0,105.0,2800.0,14.4,80.0,1.0,USA,A,Seg07,SegC,5,5,FleetA,North,,77.426368268112611,Pacific Rim Logistics and Supply Chain Gamma,30000000,0.000000123456789
datsun 210,40.8,4.0,85.0,65.0,2110.0,19.2,80.0,3.0,,B,Seg08,SegD,9,9,FleetA,south,none,80.113130711800679,Central Plains Research Laboratory Delta,1234567890,5550000000000000
vw rabbit c (diesel),44.3,4.0,90.0,48.0,2085.0,21.7,80.0,2.0,Europe,C,Seg09,SegE,1,1,FleetA,EAST,ok,82.89312615337154,Atlantic Coastal Engineering Station Epsilon,12345678901234.5,1000000000000000000
vw dasher (diesel),43.4,4.0,90.0,48.0,2335.0,23.7,80.0,2.0,Europe,A,Seg10,SegF,2,2,FleetA,North,,85.769589859089464,Mountain West Quality Assurance Facility Zeta,0.0000001,0.30000000000000004
audi 5000s (diesel),36.4,5.0,121.0,67.0,2950.0,19.9,80.0,2.0,Europe,B,Seg11,SegG,5,5,FleetA,south,none,88.745869361777125,Great Lakes Production Operations Eta,0.0000001234567890123456,1234567890
mercedes-benz 240d,30.0,4.0,146.0,67.0,3250.0,21.8,80.0,2.0,Europe,C,Seg12,SegH,9,9,FleetA,EAST,ok,91.825428356562824,Gulf Coast Materials Testing Institute Theta,0.30000000000000004,0.000000000000001
honda civic 1500 gl,44.6,4.0,91.0,67.0,1850.0,13.8,80.0,3.0,Japan,A,Seg01,SegA,1,1,FleetA,North,,95.011850731814391,North American Manufacturing Division Alpha,3.141592653589793,12345678901234.5
renault lecar deluxe,40.9,4.0,85.0,NaN,1835.0,17.3,80.0,2.0,Europe,undefined,Seg02,SegB,2,2,FleetA,south,none,98.308844739948285,Southwestern European Distribution Center Beta,2.718281828459045,30000000
subaru dl,33.8,4.0,97.0,67.0,2145.0,18.0,80.0,3.0,Japan,C,Seg03,SegC,5,5,FleetA,EAST,ok,101.72024731297114,Pacific Rim Logistics and Supply Chain Gamma,1.4142135623730951,0.000000123456789
vokswagen rabbit,29.8,4.0,89.0,62.0,1845.0,15.3,80.0,2.0,Europe,A,Seg04,SegD,9,9,FleetA,North,,105.25002852777327,Central Plains Research Laboratory Delta,0.1,5550000000000000
datsun 280-zx,32.7,6.0,168.0,132.0,2910.0,11.4,80.0,3.0,Japan,B,Seg05,SegE,1,1,FleetA,south,none,108.90229622637283,Atlantic Coastal Engineering Station Epsilon,0.01,1000000000000000000
mazda rx-7 gs,23.7,3.0,70.0,100.0,2420.0,12.5,80.0,3.0,Japan,C,Seg06,SegF,2,2,FleetA,EAST,ok,112.68130079648556,Mountain West Quality Assurance Facility Zeta,0.001,0.30000000000000004
triumph tr7 coupe,35.0,4.0,122.0,88.0,2500.0,15.1,80.0,2.0,Europe,A,Seg07,SegG,5,5,FleetA,North,,116.59144011798311,Great Lakes Production Operations Eta,0.000000000001,1234567890
,23.6,4.0,140.0,NaN,2905.0,14.3,80.0,1.0,USA,B,Seg08,SegH,9,9,FleetA,south,none,120.63726468100235,Gulf Coast Materials Testing Institute Theta,1000000000000,0.000000000000001
honda accord,32.4,4.0,107.0,72.0,2290.0,17.0,80.0,3.0,Japan,C,Seg09,SegA,1,1,FleetA,EAST,ok,124.82348288165197,North American Manufacturing Division Alpha,999,12345678901234.5
plymouth reliant,27.2,4.0,135.0,84.0,2490.0,15.7,81.0,1.0,USA,A,Seg10,SegB,2,2,FleetA,North,,129.15496650148827,Southwestern European Distribution Center Beta,1000,30000000
buick skylark,26.6,4.0,151.0,84.0,2635.0,16.4,81.0,1.0,USA,B,Seg11,SegC,5,5,FleetA,south,none,133.63675637713328,Pacific Rim Logistics and Supply Chain Gamma,999999,0.000000123456789
dodge aries wagon (sw),25.8,NaN,156.0,92.0,2620.0,14.4,81.0,1.0,USA,C,Seg12,SegD,9,9,FleetA,EAST,ok,138.27406826663133,Central Plains Research Laboratory Delta,1000000,5550000000000000
chevrolet citation,23.5,6.0,173.0,110.0,2725.0,12.6,81.0,1.0,USA,A,Seg01,SegE,1,1,FleetA,North,,143.07229891937587,Atlantic Coastal Engineering Station Epsilon,-30000000,1000000000000000000
plymouth reliant,30.0,4.0,135.0,84.0,2385.0,12.9,81.0,1.0,USA,B,Seg02,SegF,2,2,FleetA,south,none,148.0370323566664,Mountain West Quality Assurance Facility Zeta,-0.0000001234,0.30000000000000004
toyota starlet,39.1,4.0,79.0,58.0,1755.0,16.9,81.0,3.0,Japan,C,Seg03,SegG,5,5,FleetA,EAST,ok,153.17404637020798,Great Lakes Production Operations Eta,0,1234567890
plymouth champ,39.0,4.0,86.0,64.0,1875.0,16.4,81.0,1.0,,A,Seg04,SegH,9,9,FleetA,North,,158.48931924611142,Gulf Coast Materials Testing Institute Theta,1,0.000000000000001
honda civic 1300,35.1,4.0,81.0,60.0,1760.0,16.1,81.0,3.0,Japan,,Seg05,SegA,1,1,FleetA,south,none,163.98903672222494,North American Manufacturing Division Alpha,-1,12345678901234.5
subaru,32.3,4.0,97.0,67.0,2065.0,17.8,81.0,3.0,Japan,C,Seg06,SegB,2,2,FleetA,EAST,ok,169.67959918688967,Southwestern European Distribution Center Beta,0.9999999999999999,30000000
datsun 210 mpg,37.0,4.0,85.0,65.0,1975.0,19.4,81.0,3.0,Japan,A,Seg07,SegC,5,5,FleetA,North,,175.56762912750014,Pacific Rim Logistics and Supply Chain Gamma,1000000000.0000001,0.000000123456789
toyota tercel,37.7,4.0,89.0,62.0,2050.0,17.3,81.0,3.0,Japan,B,Seg08,SegD,9,9,FleetA,south,none,181.65997883753286,Central Plains Research Laboratory Delta,0.000000000000001,5550000000000000
mazda glc 4,34.1,4.0,91.0,68.0,1985.0,16.0,81.0,3.0,Japan,C,Seg09,SegE,1,1,FleetA,EAST,ok,187.96373839101864,Atlantic Coastal Engineering Station Epsilon,1000000000000000000,1000000000000000000
plymouth horizon 4,34.7,4.0,105.0,63.0,2215.0,14.9,81.0,1.0,USA,A,Seg10,SegF,2,2,FleetA,North,,194.48624389373654,Mountain West Quality Assurance Facility Zeta,5550000000000000,0.30000000000000004
ford escort 4w,34.4,4.0,98.0,65.0,2045.0,16.2,81.0,1.0,USA,B,Seg11,SegG,5,5,FleetA,south,none,201.23508602072573,Great Lakes Production Operations Eta,1234567890123456,1234567890
ford escort 2h,29.9,4.0,98.0,65.0,2380.0,20.7,81.0,1.0,USA,C,Seg12,SegH,9,9,FleetA,EAST,ok,208.21811885006562,Gulf Coast Materials Testing Institute Theta,100000000000,0.000000000000001
volkswagen jetta,33.0,4.0,105.0,74.0,2190.0,14.2,81.0,2.0,Europe,A,Seg01,SegA,1,1,FleetA,North,,215.44346900318823,North American Manufacturing Division Alpha,30000000,12345678901234.5
renault 18i,34.5,4.0,100.0,NaN,2320.0,15.8,81.0,2.0,Europe,B,Seg02,SegB,2,2,FleetA,south,none,222.91954510236945,Southwestern European Distribution Center Beta,1234567890,30000000
honda prelude,33.7,4.0,107.0,75.0,2210.0,14.4,81.0,3.0,Japan,C,Seg03,SegC,5,5,FleetA,EAST,ok,230.65504755640538,Pacific Rim Logistics and Supply Chain Gamma,12345678901234.5,0.000000123456789
,32.4,4.0,108.0,75.0,2350.0,16.8,81.0,3.0,Japan,A,Seg04,SegD,9,9,FleetA,North,,238.65897868585785,Central Plains Research Laboratory Delta,0.0000001,5550000000000000
datsun 200sx,32.9,4.0,119.0,100.0,2615.0,14.8,81.0,3.0,Japan,B,Seg05,SegE,1,1,FleetA,south,none,246.94065319965773,Atlantic Coastal Engineering Station Epsilon,0.0000001234567890123456,1000000000000000000
mazda 626,31.6,4.0,120.0,74.0,2635.0,18.3,81.0,3.0,Japan,null,Seg06,SegF,2,2,FleetA,EAST,ok,255.50970903525069,Mountain West Quality Assurance Facility Zeta,0.30000000000000004,0.30000000000000004
peugeot 505s turbo diesel,28.1,4.0,141.0,80.0,3230.0,20.4,81.0,2.0,Europe,A,Seg07,SegG,5,5,FleetA,North,,264.37611857491009,Great Lakes Production Operations Eta,3.141592653589793,1234567890
saab 900s,NaN,NaN,121.0,110.0,2800.0,15.4,81.0,2.0,Europe,B,Seg08,SegH,9,9,FleetA,south,none,273.55020025126362,Gulf Coast Materials Testing Institute Theta,2.718281828459045,0.000000000000001
volvo diesel,30.7,6.0,145.0,76.0,3160.0,19.6,81.0,2.0,Europe,C,Seg09,SegA,1,1,FleetA,EAST,ok,283.04263055554139,North American Manufacturing Division Alpha,1.4142135623730951,12345678901234.5
toyota cressida,25.4,6.0,168.0,116.0,2900.0,12.6,81.0,3.0,Japan,A,Seg10,SegB,2,2,FleetA,North,,292.86445646252372,Southwestern European Distribution Center Beta,0.1,30000000
datsun 810 maxima,24.2,6.0,146.0,120.0,2930.0,13.8,81.0,3.0,Japan,B,Seg11,SegC,5,5,FleetA,south,none,303.0271082866393,Pacific Rim Logistics and Supply Chain Gamma,0.01,0.000000123456789
buick century,22.4,6.0,231.0,110.0,3415.0,15.8,81.0,1.0,,C,Seg12,SegD,9,9,FleetA,EAST,ok,313.54241298419021,Central Plains Research Laboratory Delta,0.001,5550000000000000
oldsmobile cutlass ls,26.6,8.0,350.0,105.0,3725.0,19.0,81.0,1.0,USA,A,Seg01,SegE,1,1,FleetA,North,,324.42260791716302,Atlantic Coastal Engineering Station Epsilon,0.000000000001,1000000000000000000
ford granada gl,20.2,6.0,200.0,88.0,3060.0,17.1,81.0,1.0,USA,B,Seg02,SegF,2,2,FleetA,south,none,335.680355094672,Mountain West Quality Assurance Facility Zeta,1000000000000,0.30000000000000004
chrysler lebaron salon,17.6,6.0,225.0,85.0,3465.0,16.6,81.0,1.0,USA,C,Seg03,SegG,5,5,FleetA,EAST,ok,347.32875590858094,Great Lakes Production Operations Eta,999,1234567890
chevrolet cavalier,28.0,4.0,112.0,88.0,2605.0,19.6,82.0,1.0,USA,A,Seg04,SegH,9,9,FleetA,North,,359.38136638046257,Gulf Coast Materials Testing Institute Theta,1000,0.000000000000001
chevrolet cavalier wagon,27.0,4.0,112.0,88.0,2640.0,18.6,82.0,1.0,USA,B,Seg05,SegA,1,1,FleetA,south,none,371.85221293765528,North American Manufacturing Division Alpha,999999,12345678901234.5
chevrolet cavalier 2-door,34.0,4.0,112.0,88.0,2395.0,18.0,82.0,1.0,USA,,Seg06,SegB,2,2,FleetA,EAST,ok,384.755808736745,Southwestern European Distribution Center Beta,1000000,30000000
